name	description	p-value	q-value	phenotype	genes
NUCLEAR CHROMOSOME SEGREGATION%GOBP%GO:0098813	nuclear chromosome segregation	0.0120468681613771	0.0120468681613771	1	SMC3,RB1,SMC1A,CHEK2,STAG2
NUCLEAR EVENTS (KINASE AND TRANSCRIPTION FACTOR ACTIVATION)%REACTOME%R-HSA-198725.2	Nuclear Events (kinase and transcription factor activation)	0.0106148159536102	0.0106148159536102	1	EGR3,EP300,PPP2R1A
NUCLEAR EVENTS MEDIATED BY NFE2L2%REACTOME DATABASE ID RELEASE 83%9759194	Nuclear events mediated by NFE2L2	0.00103699810487464	0.00103699810487464	1	IDH1,NFE2L2,EP300,NOTCH1,CDKN2A
NUCLEOSOME ASSEMBLY%GOBP%GO:0006334	nucleosome assembly	0.00258984622455291	0.00258984622455291	1	NPM1,ATRX,SOX9
NUCLEOSOME ORGANIZATION%GOBP%GO:0034728	nucleosome organization	0.000100252686651409	0.000100252686651409	1	ARID1A,NPM1,ATRX,SETD2,SOX9
ONCOGENE INDUCED SENESCENCE%REACTOME%R-HSA-2559585.6	Oncogene Induced Senescence	3.56450394243151e-05	3.56450394243151e-05	1	CDKN2A,RB1,TP53,CDKN2C
ONCOSTATIN M SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP2374%HOMO SAPIENS	Oncostatin M signaling pathway	0.00788022799174893	0.00788022799174893	1	PIK3R1,PTPN11,CDKN1B,MTOR,KRAS
OREXIN RECEPTOR PATHWAY%WIKIPATHWAYS_20220510%WP5094%HOMO SAPIENS	Orexin receptor pathway	0.000635910433002318	0.000635910433002318	1	PIK3R1,NFE2L2,CDKN1A,VHL,RUNX1,CEBPA
ORGAN GROWTH%GOBP%GO:0035265	organ growth	9.48362236192038e-05	9.48362236192038e-05	1	NOTCH1,FGFR3,SOX9,FGFR2
OSSIFICATION%GOBP%GO:0001503	ossification	0.00729523144685237	0.00729523144685237	1	CTNNB1,EGFR,FGFR3,FGFR2
OSTEOBLAST DIFFERENTIATION AND RELATED DISEASES%WIKIPATHWAYS_20220510%WP4787%HOMO SAPIENS	Osteoblast differentiation and related diseases	5.46799466420929e-05	5.46799466420929e-05	1	PIK3R1,FGFR3,FGFR2,SMAD4,CTNNB1,SOX9,NOTCH1
OUTFLOW TRACT MORPHOGENESIS%GOBP%GO:0003151	outflow tract morphogenesis	5.70475615566172e-05	5.70475615566172e-05	1	NOTCH1,SMAD4,TGFBR2,SOX17,FGFR2
OUTFLOW TRACT SEPTUM MORPHOGENESIS%GOBP%GO:0003148	outflow tract septum morphogenesis	0.000984066497317628	0.000984066497317628	1	TGFBR2,SMAD4,FGFR2
OVARIAN INFERTILITY%WIKIPATHWAYS_20220510%WP34%HOMO SAPIENS	Ovarian infertility	0.00214500587410134	0.00214500587410134	1	CDKN1B,ATM,NCOR1
OVARIAN TUMOR DOMAIN PROTEASES%REACTOME DATABASE ID RELEASE 83%5689896	Ovarian tumor domain proteases	1.46517408057112e-06	1.46517408057112e-06	1	APC,TP53,PTEN
OVERLAP BETWEEN SIGNAL TRANSDUCTION PATHWAYS CONTRIBUTING TO LMNA LAMINOPATHIES%WIKIPATHWAYS_20220510%WP4879%HOMO SAPIENS	Overlap between signal transduction pathways contributing to LMNA laminopathies	5.82325679688135e-06	5.82325679688135e-06	1	RB1,CTNNB1,CDKN1A,SMAD2,NOTCH1,CEBPA
OXIDATIVE DAMAGE RESPONSE%WIKIPATHWAYS_20220510%WP3941%HOMO SAPIENS	Oxidative damage response	0.00244536537646642	0.00244536537646642	1	CDKN1B,CDKN1A,MAP3K1,MAP2K4
OXIDATIVE STRESS INDUCED SENESCENCE%REACTOME DATABASE ID RELEASE 83%2559580	Oxidative Stress Induced Senescence	0.00142435579400941	0.00142435579400941	1	MAP2K4,EZH2,CDKN2A,TP53,CDKN2C
P53 PATHWAY FEEDBACK LOOPS 2%PANTHER PATHWAY%P04398	p53 pathway feedback loops 2	7.5544081526775e-11	7.5544081526775e-11	1	PIK3CA,CTNNB1,KRAS,ATM,TP53,ATR,RB1,CDKN1A,PTEN,PIK3R1,PIK3CG,NRAS,AKT1
P53 PATHWAY%PANTHER PATHWAY%P00059	p53 pathway	5.73684772562739e-12	5.73684772562739e-12	1	CDKN2A,PIK3CA,ATM,TP53,ATR,CDKN1A,PTEN,SIN3A,CHEK2,AKT1,EP300
P53 PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%P53 PATHWAY	p53 pathway	9.5788381708127e-06	9.5788381708127e-06	1	AKT1,EP300,RPL5,CHEK2,ATM,TP53,ATR,CDKN2A
P53 SIGNALING PATHWAY%PATHWHIZ%PW064774	P53 Signaling Pathway	0.000272471719367837	0.000272471719367837	1	RB1,CDKN1A,CCND1
P53 TRANSCRIPTIONAL GENE NETWORK%WIKIPATHWAYS_20220510%WP4963%HOMO SAPIENS	p53 transcriptional gene network	0.00211883377393161	0.00211883377393161	1	MTOR,PTEN,CDKN1A,NOTCH1
P53-DEPENDENT G1 DNA DAMAGE RESPONSE%REACTOME DATABASE ID RELEASE 83%69563	p53-Dependent G1 DNA Damage Response	1.14817370692718e-05	1.14817370692718e-05	1	CDKN1A,CDKN1B,ATM,CDKN2A,TP53,CHEK2
P53-DEPENDENT G1 S DNA DAMAGE CHECKPOINT%REACTOME DATABASE ID RELEASE 83%69580	p53-Dependent G1 S DNA damage checkpoint	1.14817370692718e-05	1.14817370692718e-05	1	CDKN1A,CDKN1B,ATM,CDKN2A,TP53,CHEK2
P73 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%P73 TRANSCRIPTION FACTOR NETWORK	p73 transcription factor network	0.000262519823965788	0.000262519823965788	1	RB1,CDKN1A,BRCA2,EP300,WT1
PANCREATIC ADENOCARCINOMA PATHWAY%WIKIPATHWAYS_20220510%WP4263%HOMO SAPIENS	Pancreatic adenocarcinoma pathway	8.70177265460587e-11	8.70177265460587e-11	1	PIK3R1,BRAF,CCND1,RB1,SMAD4,BRCA2,MTOR,CDKN1A,KRAS,TGFBR2,SMAD2,CDKN2A,EGFR
PATHWAYS AFFECTED IN ADENOID CYSTIC CARCINOMA%WIKIPATHWAYS_20220510%WP3651%HOMO SAPIENS	Pathways affected in adenoid cystic carcinoma	6.84627700700585e-15	6.84627700700585e-15	1	EP300,SETD2,FBXW7,ARID5B,NCOR1,ARID1A,BRCA1,CHEK2,ATM,PTEN,SMC1A,NOTCH1,CEBPA
PATTERN SPECIFICATION PROCESS%GOBP%GO:0007389	pattern specification process	9.56863010534004e-05	9.56863010534004e-05	1	TBX3,ERBB4,APC,NOTCH1,SOX17,FOXA2,FGFR2,SMAD2,TGFBR2,WT1
PDGF SIGNALING PATHWAY%PANTHER PATHWAY%P00047	PDGF signaling pathway	0.000654393412739895	0.000654393412739895	1	PDGFRA,PIK3R1,BRAF,PIK3CG,PIK3CA,ELF3,NRAS
PDGFR-BETA SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PDGFR-BETA SIGNALING PATHWAY	PDGFR-beta signaling pathway	7.65826315194441e-06	7.65826315194441e-06	1	BRAF,NRAS,KRAS,PIK3CG,ARHGAP35,PIK3R1,PIK3CA,MAP2K4,PPP2R1A,PTEN,PTPN11
PEPTIDYL-LYSINE METHYLATION%GOBP%GO:0018022	peptidyl-lysine methylation	0.00244536537646642	0.00244536537646642	1	SETBP1,SETD2,EZH2,KDM6A
PEPTIDYL-LYSINE MODIFICATION%GOBP%GO:0018205	peptidyl-lysine modification	0.0201974424023642	0.0201974424023642	1	EZH2,SETBP1,SETD2,KDM6A,EP300
PEPTIDYL-SERINE MODIFICATION%GOBP%GO:0018209	peptidyl-serine modification	0.00110284802431571	0.00110284802431571	1	MTOR,ATM,ATR,LRRK2,AKT1,TAF1,TGFBR2
PEPTIDYL-SERINE PHOSPHORYLATION%GOBP%GO:0018105	peptidyl-serine phosphorylation	0.000806069530948925	0.000806069530948925	1	MTOR,ATM,ATR,LRRK2,AKT1,TAF1,TGFBR2
PEPTIDYL-THREONINE MODIFICATION%GOBP%GO:0018210	peptidyl-threonine modification	0.000290357954969879	0.000290357954969879	1	AKT1,STK11,TAF1,TGFBR2,LRRK2,ACVR1B
PEPTIDYL-THREONINE PHOSPHORYLATION%GOBP%GO:0018107	peptidyl-threonine phosphorylation	0.000162476189029019	0.000162476189029019	1	AKT1,STK11,TAF1,TGFBR2,LRRK2,ACVR1B
PEPTIDYL-TYROSINE MODIFICATION%GOBP%GO:0018212	peptidyl-tyrosine modification	1.17690201316403e-05	1.17690201316403e-05	1	ERBB4,EGFR,FLT3,FGFR3,PDGFRA,FGFR2,EPHA3
PEPTIDYL-TYROSINE PHOSPHORYLATION%GOBP%GO:0018108	peptidyl-tyrosine phosphorylation	1.02635642860724e-05	1.02635642860724e-05	1	ERBB4,EGFR,FLT3,FGFR3,PDGFRA,FGFR2,EPHA3
PERVASIVE DEVELOPMENTAL DISORDERS%REACTOME%R-HSA-9005895.1	Pervasive developmental disorders	0.000272091064586305	0.000272091064586305	1	NCOR1,TBL1XR1,SIN3A
PHOSPHATIDYLINOSITOL 3-KINASE SIGNALING%GOBP%GO:0014065	phosphatidylinositol 3-kinase signaling	1.78370758944001e-05	1.78370758944001e-05	1	PIK3CG,AKT1,PIK3CA,PTEN,PIK3R1,GATA3
PHOSPHATIDYLINOSITOL-MEDIATED SIGNALING%GOBP%GO:0048015	phosphatidylinositol-mediated signaling	4.78799341333951e-05	4.78799341333951e-05	1	PIK3CG,AKT1,PTEN,PIK3R1,GATA3,PDGFRA,PIK3CA
PHOTODYNAMIC THERAPY-INDUCED AP-1 SURVIVAL SIGNALING%WIKIPATHWAYS_20220510%WP3611%HOMO SAPIENS	Photodynamic therapy-induced AP-1 survival signaling	2.4808893628246e-09	2.4808893628246e-09	1	RB1,NFE2L2,CCND1,CDKN1A,MAP2K4,CDKN2A,PDGFRA,EGFR
PHYSICO-CHEMICAL FEATURES AND TOXICITY-ASSOCIATED PATHWAYS%WIKIPATHWAYS_20220510%WP3680%HOMO SAPIENS	Physico-chemical features and toxicity-associated pathways	7.41307341877222e-05	7.41307341877222e-05	1	CTNNB1,ERBB4,MAP2K4,CDKN1B,CDKN1A,EGFR
PI3K AKT SIGNALING IN CANCER%REACTOME DATABASE ID RELEASE 83%2219528	PI3K AKT Signaling in Cancer	3.39971592306048e-10	3.39971592306048e-10	1	PIK3CA,PIK3R1,EGFR,CDKN1A,CDKN1B,AKT1,MTOR,KIT,HGF,PDGFRA,PTPN11,FLT3,PTEN
PI3K-AKT-MTOR SIGNALING PATHWAY AND THERAPEUTIC OPPORTUNITIES%WIKIPATHWAYS_20220510%WP3844%HOMO SAPIENS	PI3K-AKT-mTOR signaling pathway and therapeutic opportunities	0.000303953124813778	0.000303953124813778	1	KRAS,PIK3R1,CDKN1B,NRAS,MTOR,PTEN
PI5P, PP2A AND IER3 REGULATE PI3K AKT SIGNALING%REACTOME DATABASE ID RELEASE 83%6811558	PI5P, PP2A and IER3 Regulate PI3K AKT Signaling	1.10363509836555e-06	1.10363509836555e-06	1	PIK3CA,PIK3R1,EGFR,AKT1,KIT,HGF,PDGFRA,PTPN11,PPP2R1A,FLT3
PID_ALK1_PATHWAY%MSIGDB_C2%PID_ALK1_PATHWAY	PID_ALK1_PATHWAY	0.00114148129066959	0.00114148129066959	1	TGFBR2,ACVR2A,SMAD4
PID_AP1_PATHWAY%MSIGDB_C2%PID_AP1_PATHWAY	PID_AP1_PATHWAY	8.15043961690203e-07	8.15043961690203e-07	1	CDKN2A,CCND1,CBFB,PTEN,CTNNB1,CDKN1B,EP300
PID_AR_PATHWAY%MSIGDB_C2%PID_AR_PATHWAY	PID_AR_PATHWAY	0.000285117356537721	0.000285117356537721	1	CDKN2A,CTNNB1,CCND1,BRCA1
PID_AR_TF_PATHWAY%MSIGDB_C2%PID_AR_TF_PATHWAY	PID_AR_TF_PATHWAY	0.00240516619985875	0.00240516619985875	1	MAP2K4,CEBPA,EP300
PID_ATF2_PATHWAY%MSIGDB_C2%PID_ATF2_PATHWAY	PID_ATF2_PATHWAY	3.28518313764374e-07	3.28518313764374e-07	1	CCND1,NF1,CBFB,PDGFRA,RB1,BRCA1,EP300
PID_ATM_PATHWAY%MSIGDB_C2%PID_ATM_PATHWAY	PID_ATM_PATHWAY	9.81342605119874e-06	9.81342605119874e-06	1	SMC3,SMC1A,ATM,CHEK2,BRCA1
PID_ATR_PATHWAY%MSIGDB_C2%PID_ATR_PATHWAY	PID_ATR_PATHWAY	0.00211883377393161	0.00211883377393161	1	PPP2R1A,BRCA2,ATR
PID_AVB3_INTEGRIN_PATHWAY%MSIGDB_C2%PID_AVB3_INTEGRIN_PATHWAY	PID_AVB3_INTEGRIN_PATHWAY	0.00987342025705089	0.00987342025705089	1	PIK3R1,PTPN11,TGFBR2,CDKN1B
PID_BARD1_PATHWAY%MSIGDB_C2%PID_BARD1_PATHWAY	PID_BARD1_PATHWAY	0.00135706479579556	0.00135706479579556	1	ATM,BRCA1,ATR
PID_BETA_CATENIN_NUC_PATHWAY%MSIGDB_C2%PID_BETA_CATENIN_NUC_PATHWAY	PID_BETA_CATENIN_NUC_PATHWAY	4.55532826242016e-05	4.55532826242016e-05	1	CDKN2A,AXIN2,TBL1XR1,CCND1,CTNNB1,EP300
PID_CDC42_PATHWAY%MSIGDB_C2%PID_CDC42_PATHWAY	PID_CDC42_PATHWAY	0.000196705240784464	0.000196705240784464	1	MAP2K4,MAP3K1,BRAF,PIK3R1,MTOR,CTNNB1
PID_CMYB_PATHWAY%MSIGDB_C2%PID_CMYB_PATHWAY	PID_CMYB_PATHWAY	1.81162657693738e-09	1.81162657693738e-09	1	NRAS,CEBPA,NCOR1,KRAS,CDKN2A,KIT,CCND1,SIN3A,GATA3,CDKN1A,CDKN1B,EP300
PID_CXCR4_PATHWAY%MSIGDB_C2%PID_CXCR4_PATHWAY	PID_CXCR4_PATHWAY	0.0157839312980897	0.0157839312980897	1	PIK3R1,PTEN,PTPN11,MTOR
PID_DELTA_NP63_PATHWAY%MSIGDB_C2%PID_DELTA_NP63_PATHWAY	PID_DELTA_NP63_PATHWAY	7.00583806528858e-07	7.00583806528858e-07	1	NOTCH1,BRCA2,RUNX1,CDKN2A,ATM,FBXW7
PID_E2F_PATHWAY%MSIGDB_C2%PID_E2F_PATHWAY	PID_E2F_PATHWAY	1.52949165086988e-08	1.52949165086988e-08	1	CEBPA,CDKN2C,CDKN2A,ATM,RB1,CDKN1A,CDKN1B,BRCA1,EP300
PID_ECADHERIN_KERATINOCYTE_PATHWAY%MSIGDB_C2%PID_ECADHERIN_KERATINOCYTE_PATHWAY	PID_ECADHERIN_KERATINOCYTE_PATHWAY	8.63774958599768e-05	8.63774958599768e-05	1	EGFR,AJUBA,CTNNB1,PIK3R1
PID_ECADHERIN_STABILIZATION_PATHWAY%MSIGDB_C2%PID_ECADHERIN_STABILIZATION_PATHWAY	PID_ECADHERIN_STABILIZATION_PATHWAY	0.000689435977519933	0.000689435977519933	1	EGFR,CTNNB1,HGF
PID_ERA_GENOMIC_PATHWAY%MSIGDB_C2%PID_ERA_GENOMIC_PATHWAY	PID_ERA_GENOMIC_PATHWAY	1.69655406991816e-05	1.69655406991816e-05	1	NCOR1,AXIN2,CCND1,SMAD4,BRCA1,EP300
PID_ERBB1_DOWNSTREAM_PATHWAY%MSIGDB_C2%PID_ERBB1_DOWNSTREAM_PATHWAY	PID_ERBB1_DOWNSTREAM_PATHWAY	0.000436766287255694	0.000436766287255694	1	EGFR,MAP2K4,NRAS,MAP3K1,BRAF,KRAS,PPP2R1A,PIK3R1,MTOR
PID_FAK_PATHWAY%MSIGDB_C2%PID_FAK_PATHWAY	PID_FAK_PATHWAY	0.000379282659711446	0.000379282659711446	1	MAP2K4,BRAF,CCND1,PIK3R1,ARHGAP35
PID_FANCONI_PATHWAY%MSIGDB_C2%PID_FANCONI_PATHWAY	PID_FANCONI_PATHWAY	0.000337557929942339	0.000337557929942339	1	BRCA2,ATM,BRCA1,ATR
PID_FGF_PATHWAY%MSIGDB_C2%PID_FGF_PATHWAY	PID_FGF_PATHWAY	0.000611493995157589	0.000611493995157589	1	FGFR3,FGFR2,PIK3R1,PTPN11,HGF
PID_FOXM1_PATHWAY%MSIGDB_C2%PID_FOXM1_PATHWAY	PID_FOXM1_PATHWAY	4.87734333287192e-07	4.87734333287192e-07	1	BRCA2,CDKN2A,RB1,CCND1,CHEK2,EP300
PID_FOXO_PATHWAY%MSIGDB_C2%PID_FOXO_PATHWAY	PID_FOXO_PATHWAY	0.00228833327403628	0.00228833327403628	1	CTNNB1,CDKN1B,EP300
PID_FRA_PATHWAY%MSIGDB_C2%PID_FRA_PATHWAY	PID_FRA_PATHWAY	0.00150733444693714	0.00150733444693714	1	CDKN2A,CCND1,EP300
PID_HDAC_CLASSI_PATHWAY%MSIGDB_C2%PID_HDAC_CLASSI_PATHWAY	PID_HDAC_CLASSI_PATHWAY	0.0110204176957511	0.0110204176957511	1	NCOR1,SIN3A,EP300
PID_HEDGEHOG_GLI_PATHWAY%MSIGDB_C2%PID_HEDGEHOG_GLI_PATHWAY	PID_HEDGEHOG_GLI_PATHWAY	0.00451079794246759	0.00451079794246759	1	SIN3A,SPOP,FOXA2
PID_HES_HEY_PATHWAY%MSIGDB_C2%PID_HES_HEY_PATHWAY	PID_HES_HEY_PATHWAY	5.98977500384218e-05	5.98977500384218e-05	1	NOTCH1,NCOR1,RB1,CDKN1B,EP300
PID_HNF3A_PATHWAY%MSIGDB_C2%PID_HNF3A_PATHWAY	PID_HNF3A_PATHWAY	9.81342605119874e-06	9.81342605119874e-06	1	FOXA1,CDKN1B,BRCA1,FOXA2,EP300
PID_HNF3B_PATHWAY%MSIGDB_C2%PID_HNF3B_PATHWAY	PID_HNF3B_PATHWAY	0.000170081779514276	0.000170081779514276	1	NF1,CEBPA,FOXA1,FOXA2
PID_IFNG_PATHWAY%MSIGDB_C2%PID_IFNG_PATHWAY	PID_IFNG_PATHWAY	0.00186920371442136	0.00186920371442136	1	MAP3K1,PIK3R1,PTPN11,MTOR,EP300
PID_KIT_PATHWAY%MSIGDB_C2%PID_KIT_PATHWAY	PID_KIT_PATHWAY	0.00525488856749879	0.00525488856749879	1	PIK3R1,PTEN,PTPN11,KIT
PID_LKB1_PATHWAY%MSIGDB_C2%PID_LKB1_PATHWAY	PID_LKB1_PATHWAY	0.00224120859313058	0.00224120859313058	1	STK11,SMAD4,MTOR
PID_MET_PATHWAY%MSIGDB_C2%PID_MET_PATHWAY	PID_MET_PATHWAY	0.000196833067165673	0.000196833067165673	1	MAP2K4,MAP3K1,HGF,PIK3R1,PTPN11,MTOR,CTNNB1
PID_MYC_REPRESS_PATHWAY%MSIGDB_C2%PID_MYC_REPRESS_PATHWAY	PID_MYC_REPRESS_PATHWAY	5.17848186800249e-08	5.17848186800249e-08	1	CEBPA,CCND1,SMAD2,SMAD4,CDKN1A,CDKN1B,BRCA1,EP300
PID_NOTCH_PATHWAY%MSIGDB_C2%PID_NOTCH_PATHWAY	PID_NOTCH_PATHWAY	4.01432371697182e-07	4.01432371697182e-07	1	NOTCH1,NCOR1,GATA3,CDKN1A,CCND1,FBXW7,EP300
PID_P53_DOWNSTREAM_PATHWAY%MSIGDB_C2%PID_P53_DOWNSTREAM_PATHWAY	PID_P53_DOWNSTREAM_PATHWAY	2.65687734247067e-05	2.65687734247067e-05	1	EGFR,RB1,CDKN1A,EP300,FOXA1,HGF,PTEN
PID_P53_REGULATION_PATHWAY%MSIGDB_C2%PID_P53_REGULATION_PATHWAY	PID_P53_REGULATION_PATHWAY	5.83031924367431e-05	5.83031924367431e-05	1	RPL5,CDKN2A,ATM,CHEK2,ATR,EP300
PID_P73PATHWAY%MSIGDB_C2%PID_P73PATHWAY	PID_P73PATHWAY	0.000158867250979759	0.000158867250979759	1	BRCA2,WT1,RB1,CDKN1A,EP300
PID_PDGFRB_PATHWAY%MSIGDB_C2%PID_PDGFRB_PATHWAY	PID_PDGFRB_PATHWAY	0.000163802677709631	0.000163802677709631	1	NRAS,BRAF,KRAS,PIK3R1,PTPN11,MAP2K4,PPP2R1A,PTEN,ARHGAP35
PID_PI3KCI_AKT_PATHWAY%MSIGDB_C2%PID_PI3KCI_AKT_PATHWAY	PID_PI3KCI_AKT_PATHWAY	0.00147857860166604	0.00147857860166604	1	MTOR,CDKN1A,CDKN1B
PID_PS1_PATHWAY%MSIGDB_C2%PID_PS1_PATHWAY	PID_PS1_PATHWAY	0.00188945347776395	0.00188945347776395	1	NOTCH1,CTNNB1,CCND1
PID_RB_1PATHWAY%MSIGDB_C2%PID_RB_1PATHWAY	PID_RB_1PATHWAY	2.4254926179179e-08	2.4254926179179e-08	1	CEBPA,CDKN2A,CCND1,TAF1,RB1,CDKN1A,CDKN1B,EP300
PID_REG_GR_PATHWAY%MSIGDB_C2%PID_REG_GR_PATHWAY	PID_REG_GR_PATHWAY	0.00883398546945763	0.00883398546945763	1	GATA3,CDKN1A,EP300
PID_RHOA_PATHWAY%MSIGDB_C2%PID_RHOA_PATHWAY	PID_RHOA_PATHWAY	0.000848915658736749	0.000848915658736749	1	MAP2K4,PTEN,CDKN1B
PID_SMAD2_3NUCLEAR_PATHWAY%MSIGDB_C2%PID_SMAD2_3NUCLEAR_PATHWAY	PID_SMAD2_3NUCLEAR_PATHWAY	2.72345105927705e-08	2.72345105927705e-08	1	NCOR1,RUNX1,CBFB,SIN3A,SMAD2,SMAD4,GATA3,CDKN1A,EP300
PID_TAP63_PATHWAY%MSIGDB_C2%PID_TAP63_PATHWAY	PID_TAP63_PATHWAY	0.00394601389460248	0.00394601389460248	1	CDKN2A,CDKN1A,EP300
PID_TCPTP_PATHWAY%MSIGDB_C2%PID_TCPTP_PATHWAY	PID_TCPTP_PATHWAY	0.00224800393177311	0.00224800393177311	1	EGFR,PIK3R1,HGF,ATR
PID_TELOMERASE_PATHWAY%MSIGDB_C2%PID_TELOMERASE_PATHWAY	PID_TELOMERASE_PATHWAY	7.01460468024357e-07	7.01460468024357e-07	1	EGFR,ATM,CCND1,WT1,SIN3A,MTOR,CDKN1B
PID_TGFBR_PATHWAY%MSIGDB_C2%PID_TGFBR_PATHWAY	PID_TGFBR_PATHWAY	0.000553407899300352	0.000553407899300352	1	SMAD2,SMAD4,TGFBR2,CTNNB1
PID_VEGFR1_2_PATHWAY%MSIGDB_C2%PID_VEGFR1_2_PATHWAY	PID_VEGFR1_2_PATHWAY	0.00760861655775828	0.00760861655775828	1	BRAF,PIK3R1,PTPN11,CTNNB1
PILOCYTIC ASTROCYTOMA%WIKIPATHWAYS_20220510%WP2253%HOMO SAPIENS	Pilocytic astrocytoma	4.15347186434358e-05	4.15347186434358e-05	1	PTPN11,NF1,BRAF
PKMTS METHYLATE HISTONE LYSINES%REACTOME DATABASE ID RELEASE 83%3214841	PKMTs methylate histone lysines	0.00114148129066959	0.00114148129066959	1	MECOM,EZH2,SETD2,NSD1
PLATELET ACTIVATION%GOBP%GO:0030168	platelet activation	0.00766911066065889	0.00766911066065889	1	PIK3CG,PDGFRA,PIK3CA
PLURIPOTENT STEM CELL DIFFERENTIATION PATHWAY%WIKIPATHWAYS_20220510%WP2848%HOMO SAPIENS	Pluripotent stem cell differentiation pathway	0.00210939763291613	0.00210939763291613	1	KIT,HGF,NOTCH1
PONATINIB INHIBITION OF BCR-ABL%PATHWHIZ%PW032598	Ponatinib Inhibition of BCR-ABL	0.000194387451569759	0.000194387451569759	1	TP53,CDKN1B,PIK3R1,MTOR
POSITIVE REGULATION OF ACTIVIN RECEPTOR SIGNALING PATHWAY%GOBP%GO:0032927	positive regulation of activin receptor signaling pathway	5.38737240066021e-05	5.38737240066021e-05	1	ACVR2A,ACVR1B,SMAD2
POSITIVE REGULATION OF ALPHA-BETA T CELL ACTIVATION%GOBP%GO:0046635	positive regulation of alpha-beta T cell activation	0.00586211887296388	0.00586211887296388	1	TGFBR2,CBFB,RUNX1
POSITIVE REGULATION OF ALPHA-BETA T CELL DIFFERENTIATION%GOBP%GO:0046638	positive regulation of alpha-beta T cell differentiation	0.00260082240336889	0.00260082240336889	1	TGFBR2,CBFB,RUNX1
POSITIVE REGULATION OF APOPTOTIC SIGNALING PATHWAY%GOBP%GO:2001235	positive regulation of apoptotic signaling pathway	0.000492540763864581	0.000492540763864581	1	TLR4,FBXW7,PTEN,TP53
POSITIVE REGULATION OF AUTOPHAGY%GOBP%GO:0010508	positive regulation of autophagy	0.0246620865741005	0.0246620865741005	1	LRRK2,STK11,SETD2
POSITIVE REGULATION OF BINDING%GOBP%GO:0051099	positive regulation of binding	0.000284449846296027	0.000284449846296027	1	EP300,LRRK2,GATA3,TAF1,USP9X,RB1
POSITIVE REGULATION OF BMP SIGNALING PATHWAY%GOBP%GO:0030513	positive regulation of BMP signaling pathway	0.00186529192940446	0.00186529192940446	1	NOTCH1,SMAD2,SMAD4
POSITIVE REGULATION OF CANONICAL WNT SIGNALING PATHWAY%GOBP%GO:0090263	positive regulation of canonical Wnt signaling pathway	0.0043280885995934	0.0043280885995934	1	EGFR,TBL1XR1,LRRK2,FGFR2
POSITIVE REGULATION OF CELL CYCLE PHASE TRANSITION%GOBP%GO:1901989	positive regulation of cell cycle phase transition	0.00121170881003143	0.00121170881003143	1	CCND1,EGFR,NPM1,AKT1,EZH2,RB1
POSITIVE REGULATION OF CELL CYCLE PROCESS%GOBP%GO:0090068	positive regulation of cell cycle process	0.00162778672781349	0.00162778672781349	1	CCND1,ATRX,EZH2,RB1,EGFR,NPM1,RAD21,AKT1
POSITIVE REGULATION OF CELLULAR RESPONSE TO TRANSFORMING GROWTH FACTOR BETA STIMULUS%GOBP%GO:1903846	positive regulation of cellular response to transforming growth factor beta stimulus	0.000875516131855185	0.000875516131855185	1	SMAD4,EP300,STK11
POSITIVE REGULATION OF CHROMOSOME ORGANIZATION%GOBP%GO:2001252	positive regulation of chromosome organization	0.000398549842506654	0.000398549842506654	1	CTNNB1,SIN3A,ATRX,ATM,ATR,RAD21
POSITIVE REGULATION OF DEVELOPMENTAL GROWTH%GOBP%GO:0048639	positive regulation of developmental growth	0.00835437425444105	0.00835437425444105	1	NOTCH1,ERBB4,FGFR2,WT1
POSITIVE REGULATION OF DNA BIOSYNTHETIC PROCESS%GOBP%GO:2000573	positive regulation of DNA biosynthetic process	0.00149118789687359	0.00149118789687359	1	CTNNB1,ATM,ATR,HGF
POSITIVE REGULATION OF DNA REPAIR%GOBP%GO:0045739	positive regulation of DNA repair	0.000361285882723388	0.000361285882723388	1	PBRM1,EGFR,ARID1A,BRCA1
POSITIVE REGULATION OF DNA-BINDING TRANSCRIPTION FACTOR ACTIVITY%GOBP%GO:0051091	positive regulation of DNA-binding transcription factor activity	6.25942811774714e-06	6.25942811774714e-06	1	FOXA1,CTNNB1,TAF1,KIT,AR,TLR4,EP300,NPM1,PTEN,ARID5B,AKT1
POSITIVE REGULATION OF EPITHELIAL CELL MIGRATION%GOBP%GO:0010634	positive regulation of epithelial cell migration	0.00228950121478437	0.00228950121478437	1	PIK3CG,MTOR,SOX9,AKT1,GATA3
POSITIVE REGULATION OF EPITHELIAL CELL PROLIFERATION%GOBP%GO:0050679	positive regulation of epithelial cell proliferation	0.0156293335126691	0.0156293335126691	1	EGFR,NRAS,SOX9,FGFR2,EGR3,AKT1
POSITIVE REGULATION OF EPITHELIAL TO MESENCHYMAL TRANSITION%GOBP%GO:0010718	positive regulation of epithelial to mesenchymal transition	5.61465391456687e-08	5.61465391456687e-08	1	AXIN2,NOTCH1,CTNNB1,SMAD2,SMAD4,MTOR,TGFBR2,EZH2
