NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
PERIPHERAL NERVOUS SYSTEM MYELIN FORMATION%GOBP%GO:0032290	2		Rejected!	
REGULATION OF CARDIOBLAST CELL FATE SPECIFICATION%GOBP%GO:0042686	1		Rejected!	
POSITIVE REGULATION OF ERBB3 SIGNALING PATHWAY%GOBP%GO:1905580	1		Rejected!	
MONOCYTE HOMEOSTASIS%GOBP%GO:0035702	1		Rejected!	
TAURINE METABOLIC PROCESS%GOBP%GO:0019530	6		Rejected!	
METANEPHRIC CAP DEVELOPMENT%GOBP%GO:0072185	1		Rejected!	
REGULATION OF MONOCYTE EXTRAVASATION%GOBP%GO:2000437	3		Rejected!	
NEGATIVE REGULATION OF DNA DAMAGE CHECKPOINT%GOBP%GO:2000002	4		Rejected!	
REGULATION OF CIRCADIAN SLEEP/WAKE CYCLE, WAKEFULNESS%GOBP%GO:0010840	3		Rejected!	
CELLULAR KETONE BODY METABOLIC PROCESS%GOBP%GO:0046950	11		Rejected!	
GLUTAMATE DECARBOXYLATION TO SUCCINATE%GOBP%GO:0006540	1		Rejected!	
NEGATIVE REGULATION OF SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR%GOBP%GO:1901797	25	24		
TRANSCRIPTION INITIATION FROM RNA POLYMERASE I PROMOTER%GOBP%GO:0006361	32	32		
TRNA WOBBLE URIDINE MODIFICATION%GOBP%GO:0002098	13	12		
REGULATION OF DNA TOPOISOMERASE (ATP-HYDROLYZING) ACTIVITY%GOBP%GO:2000371	5		Rejected!	
CEREBELLAR GRANULAR LAYER FORMATION%GOBP%GO:0021684	5		Rejected!	
FATTY ACID METABOLIC PROCESS%GOBP%GO:0006631	265	194		
CELLULAR DETOXIFICATION%GOBP%GO:1990748	25	20		
CELLULAR HYPEROSMOTIC RESPONSE%GOBP%GO:0071474	6		Rejected!	
ZINC ION TRANSMEMBRANE TRANSPORT%GOBP%GO:0071577	21	15		
CELL CYCLE DNA REPLICATION%GOBP%GO:0044786	43	39		
RDNA CONDENSATION%GOBP%GO:0070550	1		Rejected!	
PRIMITIVE HEMOPOIESIS%GOBP%GO:0060215	2		Rejected!	
REGULATION OF MESONEPHROS DEVELOPMENT%GOBP%GO:0061217	18	16		
CELL-CELL JUNCTION ASSEMBLY%GOBP%GO:0007043	106	83		
MODIFICATION OF CELLULAR COMPONENT IN OTHER ORGANISM INVOLVED IN SYMBIOTIC INTERACTION%GOBP%GO:0052188	2		Rejected!	
TRACHEA CARTILAGE DEVELOPMENT%GOBP%GO:0060534	2		Rejected!	
METANEPHRIC CAPSULE MORPHOGENESIS%GOBP%GO:0072265	1		Rejected!	
SUCCINATE TRANSMEMBRANE TRANSPORT%GOBP%GO:0071422	6		Rejected!	
REGULATION OF TRANSCRIPTION BY GALACTOSE%GOBP%GO:0000409	1		Rejected!	
PHARYNGEAL ARCH ARTERY MORPHOGENESIS%GOBP%GO:0061626	7		Rejected!	
POSTSYNAPSE ORGANIZATION%GOBP%GO:0099173	47	40		
INTERLEUKIN-33-MEDIATED SIGNALING PATHWAY%GOBP%GO:0038172	3		Rejected!	
OPTOKINETIC BEHAVIOR%GOBP%GO:0007634	2		Rejected!	
REGULATION OF CALCIUM ION-DEPENDENT EXOCYTOSIS%GOBP%GO:0017158	55	46		
NEGATIVE REGULATION OF ION TRANSMEMBRANE TRANSPORT%GOBP%GO:0034766	70	55		
MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX IV ASSEMBLY%GOBP%GO:0033617	20	10		
ACYLGLYCEROL HOMEOSTASIS%GOBP%GO:0055090	30	16		
PEPTIDE ANTIGEN ASSEMBLY WITH MHC PROTEIN COMPLEX%GOBP%GO:0002501	6		Rejected!	
ADULT BEHAVIOR%GOBP%GO:0030534	40	23		
NEGATIVE REGULATION OF LYMPHOCYTE ACTIVATION%GOBP%GO:0051250	102	87		
FOREBRAIN NEURON DEVELOPMENT%GOBP%GO:0021884	15	12		
REGULATION OF PRE-MIRNA PROCESSING%GOBP%GO:2000631	2		Rejected!	
MRNA SPLICING, VIA SPLICEOSOME%GOBP%GO:0000398	291		Rejected!	
POSITIVE REGULATION OF HYDROLASE ACTIVITY%GOBP%GO:0051345	509		Rejected!	
GTP BIOSYNTHETIC PROCESS%GOBP%GO:0006183	2		Rejected!	
REGULATION OF RESTRICTION ENDODEOXYRIBONUCLEASE ACTIVITY%GOBP%GO:0032072	1		Rejected!	
REGULATION OF TELOMERE MAINTENANCE%GOBP%GO:0032204	77	71		
DEOXYRIBOSE PHOSPHATE METABOLIC PROCESS%GOBP%GO:0019692	24	23		
REGULATION OF MOLECULAR FUNCTION, EPIGENETIC%GOBP%GO:0040030	1		Rejected!	
BILE ACID CONJUGATION%GOBP%GO:0002152	1		Rejected!	
POSITIVE REGULATION OF INSULIN RECEPTOR SIGNALING PATHWAY%GOBP%GO:0046628	13	11		
PEPTIDYL-TYROSINE MODIFICATION%GOBP%GO:0018212	77	68		
STRESS RESPONSE TO ACID CHEMICAL%GOBP%GO:0097532	2		Rejected!	
POLYKETIDE METABOLIC PROCESS%GOBP%GO:0030638	9		Rejected!	
MESODERM MIGRATION INVOLVED IN GASTRULATION%GOBP%GO:0007509	1		Rejected!	
RESPONSE TO UV%GOBP%GO:0009411	128	114		
REGULATION OF CHROMATIN ASSEMBLY%GOBP%GO:0010847	4		Rejected!	
TIRAP-DEPENDENT TOLL-LIKE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0035664	1		Rejected!	
DEFENSE RESPONSE%GOBP%GO:0006952	904		Rejected!	
REGULATION OF METANEPHROS DEVELOPMENT%GOBP%GO:0072215	14	13		
NEGATIVE REGULATION OF BIOMINERAL TISSUE DEVELOPMENT%GOBP%GO:0070168	24	21		
PROTEIN OXIDATION%GOBP%GO:0018158	11	10		
POSITIVE REGULATION OF SALIVA SECRETION%GOBP%GO:0046878	1		Rejected!	
REGULATION OF ALCOHOL BIOSYNTHETIC PROCESS%GOBP%GO:1902930	69	60		
POSITIVE REGULATION OF GLUCOSE IMPORT%GOBP%GO:0046326	26	19		
LEUKOCYTE DEGRANULATION%GOBP%GO:0043299	490		Rejected!	
GLUCURONATE CATABOLIC PROCESS TO XYLULOSE 5-PHOSPHATE%GOBP%GO:0019640	5		Rejected!	
REGULATION OF ENDOTHELIAL CELL MIGRATION%GOBP%GO:0010594	149	132		
REGULATION OF T CELL RECEPTOR SIGNALING PATHWAY%GOBP%GO:0050856	32	29		
REGULATION OF EUKARYOTIC TRANSLATION INITIATION FACTOR 4F COMPLEX ASSEMBLY%GOBP%GO:1905535	1		Rejected!	
ENDOMITOTIC CELL CYCLE%GOBP%GO:0007113	2		Rejected!	
PRIMARY MIRNA METHYLATION%GOBP%GO:1990744	1		Rejected!	
HORMONE-MEDIATED APOPTOTIC SIGNALING PATHWAY%GOBP%GO:0008628	3		Rejected!	
NEGATIVE REGULATION OF DEFENSE RESPONSE TO VIRUS%GOBP%GO:0050687	19	18		
MODULATION BY HOST OF VIRAL MOLECULAR FUNCTION%GOBP%GO:0044868	3		Rejected!	
POSITIVE REGULATION OF BEHAVIOR%GOBP%GO:0048520	12		Rejected!	
AEROBIC RESPIRATION%GOBP%GO:0009060	66	58		
NEGATIVE REGULATION OF POLYNUCLEOTIDE ADENYLYLTRANSFERASE ACTIVITY%GOBP%GO:1904246	0		Rejected!	
PEPTIDE ANTIGEN ASSEMBLY WITH MHC CLASS I PROTEIN COMPLEX%GOBP%GO:0002502	2		Rejected!	
IRON ION IMPORT ACROSS PLASMA MEMBRANE%GOBP%GO:0098711	1		Rejected!	
SHORT-CHAIN FATTY ACID IMPORT%GOBP%GO:0015913	2		Rejected!	
PROTEASOMAL UBIQUITIN-INDEPENDENT PROTEIN CATABOLIC PROCESS%GOBP%GO:0010499	22	20		
T-HELPER 2 CELL ACTIVATION%GOBP%GO:0035712	1		Rejected!	
BUNDLE OF HIS CELL-PURKINJE MYOCYTE ADHESION INVOLVED IN CELL COMMUNICATION%GOBP%GO:0086073	6		Rejected!	
METANEPHRIC S-SHAPED BODY MORPHOGENESIS%GOBP%GO:0072284	3		Rejected!	
POSITIVE REGULATION OF DNA-DIRECTED DNA POLYMERASE ACTIVITY%GOBP%GO:1900264	9		Rejected!	
POSITIVE REGULATION OF MAST CELL PROLIFERATION%GOBP%GO:0070668	1		Rejected!	
RETROGRADE TRANSPORT, VESICLE RECYCLING WITHIN GOLGI%GOBP%GO:0000301	1		Rejected!	
NEGATIVE REGULATION OF PINOCYTOSIS%GOBP%GO:0048550	5		Rejected!	
REGULATION OF PERIPHERAL TOLERANCE INDUCTION%GOBP%GO:0002658	1		Rejected!	
REGULATION OF POLYNUCLEOTIDE ADENYLYLTRANSFERASE ACTIVITY%GOBP%GO:1904245	1		Rejected!	
POSITIVE REGULATION OF LIPID BIOSYNTHETIC PROCESS%GOBP%GO:0046889	70	54		
REGULATION OF SMALL MOLECULE METABOLIC PROCESS%GOBP%GO:0062012	373		Rejected!	
REGULATION OF MRNA POLYADENYLATION%GOBP%GO:1900363	18	16		
INNER EAR RECEPTOR CELL DEVELOPMENT%GOBP%GO:0060119	11		Rejected!	
SATURATED MONOCARBOXYLIC ACID METABOLIC PROCESS%GOBP%GO:0032788	1		Rejected!	
REGULATION OF INTERLEUKIN-23 PRODUCTION%GOBP%GO:0032667	7		Rejected!	
PYRIDINE NUCLEOTIDE SALVAGE%GOBP%GO:0019365	1		Rejected!	
REGULATION OF CENTROSOME CYCLE%GOBP%GO:0046605	55	46		
RESPONSE TO LIPOPROTEIN PARTICLE%GOBP%GO:0055094	22	21		
NEGATIVE REGULATION OF TUMOR NECROSIS FACTOR-MEDIATED SIGNALING PATHWAY%GOBP%GO:0010804	17	14		
TRANSLATION%GOBP%GO:0006412	313		Rejected!	
POSITIVE REGULATION OF GENE SILENCING BY MIRNA%GOBP%GO:2000637	26	23		
CYTIDINE CATABOLIC PROCESS%GOBP%GO:0006216	4		Rejected!	
MESENCHYME MORPHOGENESIS%GOBP%GO:0072132	35	29		
REGULATION OF AUTOPHAGY%GOBP%GO:0010506	310		Rejected!	
GUANINE TRANSPORT%GOBP%GO:0015854	1		Rejected!	
MODIFICATION BY VIRUS OF HOST MRNA PROCESSING%GOBP%GO:0046778	2		Rejected!	
NEGATIVE REGULATION OF SYNAPTIC TRANSMISSION, GLUTAMATERGIC%GOBP%GO:0051967	4		Rejected!	
REGULATION OF TYPE IV HYPERSENSITIVITY%GOBP%GO:0001807	2		Rejected!	
HYPERMETHYLATION OF CPG ISLAND%GOBP%GO:0044027	1		Rejected!	
DETECTION OF COLD STIMULUS INVOLVED IN THERMOCEPTION%GOBP%GO:0120169	1		Rejected!	
SPINDLE LOCALIZATION%GOBP%GO:0051653	40	32		
THROMBIN-ACTIVATED RECEPTOR SIGNALING PATHWAY%GOBP%GO:0070493	4		Rejected!	
RIBONUCLEOSIDE MONOPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009161	199	163		
OPTIC NERVE STRUCTURAL ORGANIZATION%GOBP%GO:0021633	1		Rejected!	
POSITIVE REGULATION BY SYMBIONT OF HOST PROGRAMMED CELL DEATH%GOBP%GO:0052042	1		Rejected!	
NEGATIVE REGULATION OF DENDRITE EXTENSION%GOBP%GO:1903860	1		Rejected!	
POSITIVE REGULATION OF POTASSIUM ION TRANSMEMBRANE TRANSPORTER ACTIVITY%GOBP%GO:1901018	19	14		
PYRIDOXAL PHOSPHATE CATABOLIC PROCESS%GOBP%GO:0032361	1		Rejected!	
NUCLEOSOME DISASSEMBLY%GOBP%GO:0006337	18	16		
MODULATION BY HOST OF RNA BINDING BY VIRUS%GOBP%GO:1990968	1		Rejected!	
DETERMINATION OF LEFT/RIGHT SYMMETRY%GOBP%GO:0007368	73	47		
REGULATION OF INFLAMMATORY RESPONSE TO WOUNDING%GOBP%GO:0106014	4		Rejected!	
VIRAL GENOME PACKAGING%GOBP%GO:0019072	2		Rejected!	
DENDRITIC SPINE DEVELOPMENT%GOBP%GO:0060996	19	16		
REGULATION OF MAINTENANCE OF SISTER CHROMATID COHESION%GOBP%GO:0034091	8		Rejected!	
METANEPHRIC MESENCHYMAL CELL DIFFERENTIATION%GOBP%GO:0072162	5		Rejected!	
ADHERENS JUNCTION MAINTENANCE%GOBP%GO:0034334	5		Rejected!	
REGULATION OF TYPE I HYPERSENSITIVITY%GOBP%GO:0001810	1		Rejected!	
XYLULOSE 5-PHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:1901159	5		Rejected!	
CELL DEVELOPMENT%GOBP%GO:0048468	977		Rejected!	
POSITIVE REGULATION OF NODAL SIGNALING PATHWAY INVOLVED IN DETERMINATION OF LATERAL MESODERM LEFT/RIGHT ASYMMETRY%GOBP%GO:1900224	2		Rejected!	
CELLULAR RESPONSE TO EXTERNAL STIMULUS%GOBP%GO:0071496	223	192		
RESPONSE TO FOLLICLE-STIMULATING HORMONE%GOBP%GO:0032354	3		Rejected!	
PURINE NUCLEOTIDE-SUGAR TRANSMEMBRANE TRANSPORT%GOBP%GO:0090480	1		Rejected!	
B CELL RECEPTOR TRANSPORT INTO MEMBRANE RAFT%GOBP%GO:0032597	0		Rejected!	
CAMERA-TYPE EYE MORPHOGENESIS%GOBP%GO:0048593	57	40		
PROTEIN LOCALIZATION TO M-BAND%GOBP%GO:0036309	2		Rejected!	
POSITIVE REGULATION OF DOUBLE-STRAND BREAK REPAIR VIA HOMOLOGOUS RECOMBINATION%GOBP%GO:1905168	11	11		
MICROTUBULE SLIDING%GOBP%GO:0051012	1		Rejected!	
MYOTUBE CELL DEVELOPMENT%GOBP%GO:0014904	11		Rejected!	
AMINOGLYCOSIDE ANTIBIOTIC METABOLIC PROCESS%GOBP%GO:0030647	9		Rejected!	
PALMITIC ACID METABOLIC PROCESS%GOBP%GO:1900533	1		Rejected!	
NEUROBLAST DIFFERENTIATION%GOBP%GO:0014016	3		Rejected!	
VERTEBRATE EYE-SPECIFIC PATTERNING%GOBP%GO:0150064	3		Rejected!	
N-TERMINAL PROTEIN AMINO ACID MODIFICATION%GOBP%GO:0031365	26	20		
CENTRAL TOLERANCE INDUCTION TO SELF ANTIGEN%GOBP%GO:0002509	1		Rejected!	
NEGATIVE REGULATION OF POLYAMINE TRANSMEMBRANE TRANSPORT%GOBP%GO:1902268	1		Rejected!	
VESICLE LOCALIZATION%GOBP%GO:0051648	220	192		
PARAXIAL MESODERM MORPHOGENESIS%GOBP%GO:0048340	1		Rejected!	
MITOCHONDRIAL DNA REPAIR%GOBP%GO:0043504	5		Rejected!	
NEGATIVE REGULATION OF NOTCH SIGNALING PATHWAY INVOLVED IN SOMITOGENESIS%GOBP%GO:1902367	1		Rejected!	
REGULATION OF SYSTEMIC ARTERIAL BLOOD PRESSURE BY NEUROTRANSMITTER%GOBP%GO:0003070	1		Rejected!	
BRAIN MORPHOGENESIS%GOBP%GO:0048854	18	15		
RNA LOCALIZATION TO NUCLEUS%GOBP%GO:0090685	5		Rejected!	
POSITIVE REGULATION OF HISTONE H3-K9 DIMETHYLATION%GOBP%GO:1900111	1		Rejected!	
REGULATION OF OVULATION%GOBP%GO:0060278	2		Rejected!	
PREGANGLIONIC PARASYMPATHETIC FIBER DEVELOPMENT%GOBP%GO:0021783	3		Rejected!	
GASTRIC ACID SECRETION%GOBP%GO:0001696	1		Rejected!	
CELLULAR RESPONSE TO STRESS%GOBP%GO:0033554	1408		Rejected!	
AXON TARGET RECOGNITION%GOBP%GO:0007412	2		Rejected!	
NEGATIVE REGULATION OF SINGLE STRAND BREAK REPAIR%GOBP%GO:1903517	1		Rejected!	
REGULATION OF REMOVAL OF SUPEROXIDE RADICALS%GOBP%GO:2000121	8		Rejected!	
NEGATIVE REGULATION OF CYTOTOXIC T CELL DEGRANULATION%GOBP%GO:0043318	2		Rejected!	
PURINE-CONTAINING COMPOUND BIOSYNTHETIC PROCESS%GOBP%GO:0072522	171	143		
SKELETAL MUSCLE ATROPHY%GOBP%GO:0014732	2		Rejected!	
OLIGOSACCHARIDE CATABOLIC PROCESS%GOBP%GO:0009313	9		Rejected!	
TRANSCRIPTION, DNA-TEMPLATED%GOBP%GO:0006351	424		Rejected!	
SPERMIDINE CATABOLIC PROCESS%GOBP%GO:0046203	1		Rejected!	
POSITIVE REGULATION OF SODIUM:POTASSIUM-EXCHANGING ATPASE ACTIVITY%GOBP%GO:1903408	1		Rejected!	
POSITIVE REGULATION OF DNA-TEMPLATED TRANSCRIPTION, ELONGATION%GOBP%GO:0032786	25	21		
POSITIVE REGULATION OF CELL DIFFERENTIATION%GOBP%GO:0045597	688		Rejected!	
FERRIC IRON TRANSPORT%GOBP%GO:0015682	36	32		
REGULATION OF CALCIUM ION TRANSPORT%GOBP%GO:0051924	170	123		
RHYTHMIC SYNAPTIC TRANSMISSION%GOBP%GO:0060024	2		Rejected!	
PEPTIDYL-SERINE MODIFICATION%GOBP%GO:0018209	170	153		
NEGATIVE REGULATION OF TYPE B PANCREATIC CELL APOPTOTIC PROCESS%GOBP%GO:2000675	4		Rejected!	
POSITIVE REGULATION OF BASEMENT MEMBRANE ASSEMBLY INVOLVED IN EMBRYONIC BODY MORPHOGENESIS%GOBP%GO:1904261	5		Rejected!	
METANEPHRIC LOOP OF HENLE DEVELOPMENT%GOBP%GO:0072236	4		Rejected!	
MO-MOLYBDOPTERIN COFACTOR METABOLIC PROCESS%GOBP%GO:0019720	4		Rejected!	
AV NODE CELL TO BUNDLE OF HIS CELL COMMUNICATION BY ELECTRICAL COUPLING%GOBP%GO:0086053	3		Rejected!	
HISTONE H4 DEACETYLATION%GOBP%GO:0070933	9		Rejected!	
POSITIVE REGULATION OF CATION TRANSMEMBRANE TRANSPORT%GOBP%GO:1904064	104	76		
POSITIVE REGULATION OF CELL ADHESION MOLECULE PRODUCTION%GOBP%GO:0060355	4		Rejected!	
CHROMATIN ASSEMBLY%GOBP%GO:0031497	137	87		
C21-STEROID HORMONE BIOSYNTHETIC PROCESS%GOBP%GO:0006700	15	11		
OLIGODENDROCYTE APOPTOTIC PROCESS%GOBP%GO:0097252	2		Rejected!	
NEUTRAL LIPID METABOLIC PROCESS%GOBP%GO:0006638	83	49		
NEGATIVE REGULATION OF NATURAL KILLER CELL MEDIATED CYTOTOXICITY%GOBP%GO:0045953	14	11		
REGULATION OF TRANSCRIPTION INVOLVED IN G1/S TRANSITION OF MITOTIC CELL CYCLE%GOBP%GO:0000083	32	28		
COENZYME A TRANSPORT%GOBP%GO:0015880	1		Rejected!	
CELLULAR AMINE METABOLIC PROCESS%GOBP%GO:0044106	53	37		
POSITIVE REGULATION OF MYOTUBE DIFFERENTIATION%GOBP%GO:0010831	20	11		
NEGATIVE REGULATION OF CELL CYCLE ARREST%GOBP%GO:0071157	21	16		
REGULATION OF TOOTH MINERALIZATION%GOBP%GO:0070170	9		Rejected!	
GLIAL CELL PROLIFERATION%GOBP%GO:0014009	5		Rejected!	
NEGATIVE REGULATION OF CELLULAR RESPONSE TO HEAT%GOBP%GO:1900035	1		Rejected!	
POSITIVE REGULATION OF TRANSPORTER ACTIVITY%GOBP%GO:0032411	82	62		
CELLULAR COMPONENT DISASSEMBLY%GOBP%GO:0022411	383		Rejected!	
NEGATIVE REGULATION OF TRANSLATIONAL INITIATION BY IRON%GOBP%GO:0045993	1		Rejected!	
NUCLEAR EXPORT%GOBP%GO:0051168	153	125		
NEGATIVE REGULATION OF CYTOPLASMIC TRANSLATION%GOBP%GO:2000766	8		Rejected!	
REGULATION OF ALDOSTERONE SECRETION%GOBP%GO:2000858	3		Rejected!	
TRNA DIHYDROURIDINE SYNTHESIS%GOBP%GO:0002943	1		Rejected!	
REGULATION OF PHOSPHOLIPID BIOSYNTHETIC PROCESS%GOBP%GO:0071071	14	10		
LYTIC VACUOLE ORGANIZATION%GOBP%GO:0080171	54	47		
REGULATION OF SMOOTH MUSCLE CELL MIGRATION%GOBP%GO:0014910	33	31		
GLOMERULAR EPITHELIAL CELL DIFFERENTIATION%GOBP%GO:0072311	13	11		
POSITIVE REGULATION OF SNARE COMPLEX ASSEMBLY%GOBP%GO:0035543	2		Rejected!	
REGULATION OF CELLULAR CARBOHYDRATE CATABOLIC PROCESS%GOBP%GO:0043471	8		Rejected!	
THYROID GLAND DEVELOPMENT%GOBP%GO:0030878	8		Rejected!	
NEGATIVE REGULATION OF CELL-CELL ADHESION%GOBP%GO:0022408	139	116		
ORGANIC CATION TRANSPORT%GOBP%GO:0015695	23	16		
POSITIVE REGULATION OF PROTEIN METABOLIC PROCESS%GOBP%GO:0051247	1428		Rejected!	
POSITIVE REGULATION OF COHESIN LOADING%GOBP%GO:1905309	1		Rejected!	
NEGATIVE REGULATION OF NITRIC OXIDE METABOLIC PROCESS%GOBP%GO:1904406	9		Rejected!	
METANEPHRIC GLOMERULAR VISCERAL EPITHELIAL CELL DIFFERENTIATION%GOBP%GO:0072248	1		Rejected!	
NEGATIVE REGULATION OF PURINE NUCLEOTIDE BIOSYNTHETIC PROCESS%GOBP%GO:1900372	13		Rejected!	
METANEPHRIC NEPHRON TUBULE FORMATION%GOBP%GO:0072289	4		Rejected!	
REGULATION OF CELL PROJECTION SIZE%GOBP%GO:0032536	4		Rejected!	
REGULATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER IN RESPONSE TO STRESS%GOBP%GO:0043618	104	99		
ADAPTATION OF SIGNALING PATHWAY%GOBP%GO:0023058	11		Rejected!	
ENZYME-DIRECTED RRNA PSEUDOURIDINE SYNTHESIS%GOBP%GO:0000455	6		Rejected!	
AMP BIOSYNTHETIC PROCESS%GOBP%GO:0006167	5		Rejected!	
CYTOCHROME C-HEME LINKAGE%GOBP%GO:0018063	1		Rejected!	
LYSOSOMAL MICROAUTOPHAGY%GOBP%GO:0016237	5		Rejected!	
SOMATIC DIVERSIFICATION OF T CELL RECEPTOR GENES%GOBP%GO:0002568	1		Rejected!	
SNORNA PROCESSING%GOBP%GO:0043144	15	13		
MYOBLAST FATE DETERMINATION%GOBP%GO:0007518	1		Rejected!	
POSITIVE REGULATION OF PROTEIN DEACETYLATION%GOBP%GO:0090312	15	14		
DNA ADP-RIBOSYLATION%GOBP%GO:0030592	3		Rejected!	
HISTONE H2A K63-LINKED DEUBIQUITINATION%GOBP%GO:0070537	3		Rejected!	
PIGMENT CELL DIFFERENTIATION%GOBP%GO:0050931	21	15		
POSITIVE REGULATION OF NEURON PROJECTION ARBORIZATION%GOBP%GO:0150012	8		Rejected!	
URETERIC BUD INVASION%GOBP%GO:0072092	1		Rejected!	
HYPOXANTHINE BIOSYNTHETIC PROCESS%GOBP%GO:0046101	3		Rejected!	
SA NODE CELL TO ATRIAL CARDIAC MUSCLE CELL COMMUNICATION%GOBP%GO:0086070	9		Rejected!	
CELLULAR RESPONSE TO NOREPINEPHRINE STIMULUS%GOBP%GO:0071874	1		Rejected!	
NEGATIVE REGULATION OF HYPERSENSITIVITY%GOBP%GO:0002884	1		Rejected!	
N-TERMINAL PEPTIDYL-METHIONINE ACETYLATION%GOBP%GO:0017196	6		Rejected!	
MAINTENANCE OF PROTEIN LOCATION IN CELL%GOBP%GO:0032507	56	52		
PEPTIDYL-ASPARTIC ACID AUTOPHOSPHORYLATION%GOBP%GO:1990938	1		Rejected!	
SUPEROXIDE METABOLIC PROCESS%GOBP%GO:0006801	32	20		
HETEROCHROMATIN ORGANIZATION%GOBP%GO:0070828	20	19		
POSITIVE REGULATION OF MDA-5 SIGNALING PATHWAY%GOBP%GO:1900245	4		Rejected!	
REGULATION OF DEFENSE RESPONSE TO VIRUS BY VIRUS%GOBP%GO:0050690	28	28		
HINDGUT MORPHOGENESIS%GOBP%GO:0007442	2		Rejected!	
POSITIVE REGULATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY INVOLVED IN APOPTOTIC SIGNALING PATHWAY%GOBP%GO:2001269	8		Rejected!	
INTERLEUKIN-21 PRODUCTION%GOBP%GO:0032625	2		Rejected!	
COPPER ION EXPORT%GOBP%GO:0060003	2		Rejected!	
POSITIVE REGULATION OF NUCLEASE ACTIVITY%GOBP%GO:0032075	6		Rejected!	
MITOPHAGY%GOBP%GO:0000423	8		Rejected!	
REGULATION OF SYSTEMIC ARTERIAL BLOOD PRESSURE BY ACETYLCHOLINE%GOBP%GO:0003068	1		Rejected!	
NEGATIVE REGULATION OF RAS GTPASE BINDING%GOBP%GO:1904476	1		Rejected!	
AUTOPHAGOSOME ASSEMBLY%GOBP%GO:0000045	55	45		
RESPONSE TO SODIUM DODECYL SULFATE%GOBP%GO:0072706	1		Rejected!	
ANGIOTENSIN-ACTIVATED SIGNALING PATHWAY INVOLVED IN HEART PROCESS%GOBP%GO:0086098	2		Rejected!	
REGULATION OF AMYLOID FIBRIL FORMATION%GOBP%GO:1905906	8		Rejected!	
CREATININE METABOLIC PROCESS%GOBP%GO:0046449	1		Rejected!	
ANTRAL OVARIAN FOLLICLE GROWTH%GOBP%GO:0001547	2		Rejected!	
POSITIVE REGULATION OF NUCLEOBASE-CONTAINING COMPOUND TRANSPORT%GOBP%GO:0032241	8		Rejected!	
POSITIVE REGULATION OF GOLGI TO PLASMA MEMBRANE PROTEIN TRANSPORT%GOBP%GO:0042998	4		Rejected!	
REGULATION OF ESTABLISHMENT OF PLANAR POLARITY INVOLVED IN NEURAL TUBE CLOSURE%GOBP%GO:0090178	5		Rejected!	
REGULATION OF MACROMOLECULE BIOSYNTHETIC PROCESS%GOBP%GO:0010556	3516		Rejected!	
ORGANIC ACID TRANSMEMBRANE TRANSPORT%GOBP%GO:1903825	88	69		
REGULATION OF TUMOR NECROSIS FACTOR-MEDIATED SIGNALING PATHWAY%GOBP%GO:0010803	52	48		
LOOP OF HENLE DEVELOPMENT%GOBP%GO:0072070	4		Rejected!	
NEGATIVE REGULATION OF ALCOHOL BIOSYNTHETIC PROCESS%GOBP%GO:1902931	13	12		
LIPID DIGESTION%GOBP%GO:0044241	12		Rejected!	
CHROMATIN SILENCING%GOBP%GO:0006342	91	53		
NEGATIVE REGULATION OF NEUTROPHIL MIGRATION%GOBP%GO:1902623	4		Rejected!	
RESPONSE TO CADMIUM ION%GOBP%GO:0046686	29	24		
REGULATION OF CHOLESTEROL IMPORT%GOBP%GO:0060620	3		Rejected!	
REGULATION OF WNT SIGNALING PATHWAY INVOLVED IN HEART DEVELOPMENT%GOBP%GO:0003307	4		Rejected!	
MINERALOCORTICOID BIOSYNTHETIC PROCESS%GOBP%GO:0006705	6		Rejected!	
GROWTH PLATE CARTILAGE AXIS SPECIFICATION%GOBP%GO:0003421	1		Rejected!	
REGULATION OF CHOLESTEROL STORAGE%GOBP%GO:0010885	15	14		
ECTODERMAL PLACODE FORMATION%GOBP%GO:0060788	4		Rejected!	
ENDOCARDIAL CUSHION CELL DEVELOPMENT%GOBP%GO:0061444	1		Rejected!	
NEGATIVE REGULATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER INVOLVED IN SMOOTH MUSCLE CELL DIFFERENTIATION%GOBP%GO:2000820	2		Rejected!	
BASE-EXCISION REPAIR, GAP-FILLING%GOBP%GO:0006287	4		Rejected!	
ESTABLISHMENT OF MITOTIC SISTER CHROMATID COHESION%GOBP%GO:0034087	2		Rejected!	
DICARBOXYLIC ACID BIOSYNTHETIC PROCESS%GOBP%GO:0043650	10		Rejected!	
NEGATIVE REGULATION OF HUMORAL IMMUNE RESPONSE MEDIATED BY CIRCULATING IMMUNOGLOBULIN%GOBP%GO:0002924	6		Rejected!	
NUCLEAR MRNA SURVEILLANCE OF MRNA 3'-END PROCESSING%GOBP%GO:0071031	2		Rejected!	
POSITIVE REGULATION OF CHOLINE O-ACETYLTRANSFERASE ACTIVITY%GOBP%GO:1902771	1		Rejected!	
